1951	0,459	0,036	0,482	0,014	0,341	0,743	-0,046	-0,215	-0,528	-1,055	-1,481	-1,270
1952	-1,695	-1,158	0,411	0,143	0,633	0,338	-0,588	-1,270	-0,434	-0,161	0,120	0,618
1953	1,375	0,707	-0,376	-1,221	-0,987	-0,942	-0,405	-0,630	-0,524	-0,884	-1,490	-2,356
1954	-2,230	-2,498	-2,011	-0,352	-0,467	-1,050	1,179	1,594	1,441	1,801	1,846	1,108
1955	0,828	0,211	0,224	0,925	0,688	0,931	1,526	1,317	0,950	0,726	0,457	-0,120
1956	-0,583	-0,585	-0,063	1,181	0,116	1,662	1,142	0,871	0,064	1,216	0,653	1,016
1957	0,966	1,597	0,954	-0,125	-0,316	-0,567	0,937	1,099	1,493	1,293	1,381	-0,096
1958	-0,613	-1,047	0,045	0,665	1,298	1,371	1,731	1,259	0,962	1,254	0,761	0,372
1959	0,340	0,071	-1,569	-1,049	-1,581	-1,835	-1,058	-0,962	-1,252	-1,394	-1,251	-1,749
1960	-1,222	-0,910	-0,706	-0,088	-0,426	-0,596	-0,370	-0,091	-0,370	0,985	0,853	0,991
1961	0,750	1,406	-0,527	-0,615	0,535	0,351	0,294	0,476	0,255	-0,495	-0,052	-0,401
1962	-0,743	0,044	0,796	0,166	0,781	0,030	0,037	-0,694	-0,329	-0,830	-0,723	-1,101
1963	-1,245	-1,697	-1,328	-0,963	-0,867	0,272	-0,406	-0,410	0,013	-0,231	-0,809	-0,764
1964	-1,224	-1,925	-1,341	-1,332	-1,082	-1,540	-1,953	-1,468	-1,422	-0,620	0,198	0,763
1965	0,621	1,096	0,542	1,390	2,873	2,390	2,157	1,464	1,087	-0,500	-0,095	0,527
1966	0,755	0,462	1,220	1,014	-0,363	0,448	0,931	1,251	0,690	1,009	0,589	0,708
1967	0,185	0,893	1,102	1,341	1,241	1,068	0,103	-0,260	0,539	-0,460	-0,737	0,299
1968	1,238	0,251	0,620	1,162	0,391	-0,365	-0,323	-0,083	0,291	0,309	0,741	0,651
1969	0,607	0,085	0,625	0,311	0,458	1,179	0,389	-0,052	-0,510	-0,613	-1,338	-1,185
1970	-1,998	-0,819	0,377	1,498	1,829	2,065	1,033	0,995	0,396	0,497	0,485	0,993
1971	0,115	0,054	-0,360	-0,851	-0,627	0,898	-0,216	-0,603	-0,339	-0,743	-1,256	-0,340
1972	-0,240	-0,883	-0,980	-1,462	-0,422	-0,216	-0,071	0,025	0,380	-0,448	-0,466	-0,838
1973	-1,252	-1,766	-1,864	-0,953	-0,030	-0,260	-0,019	-0,267	-0,979	-0,961	-0,415	-0,841
1974	-0,347	0,124	-0,793	-1,608	-0,691	-0,100	0,093	0,078	0,382	1,207	1,111	1,847
1975	2,189	2,260	1,374	1,105	-0,210	0,433	0,205	-0,592	-0,938	-1,180	-1,390	-1,525
1976	0,257	0,640	0,637	-0,061	-0,286	-2,108	-2,034	-1,778	-1,563	-1,511	-0,868	-0,578
1977	-0,692	-0,561	-0,885	-0,927	-0,157	0,591	0,562	1,511	1,348	1,128	1,081	1,031
1978	0,298	-0,189	-0,218	-1,071	0,415	0,484	0,546	1,644	1,931	1,301	0,999	1,494
1979	0,649	0,028	0,845	1,708	0,108	-0,100	0,622	-0,038	0,301	0,651	1,201	0,950
1980	1,289	0,935	1,508	1,493	0,984	1,124	1,625	0,966	0,619	1,129	0,812	-0,032
1981	1,004	0,785	0,342	0,726	1,105	-0,230	2,183	1,757	1,547	2,155	2,342	1,338
1982	1,799	1,619	0,406	-0,118	-0,793	-1,101	-1,117	-0,656	-1,002	-1,100	-1,142	-0,821
1983	-1,406	-0,424	-0,511	0,691	1,017	0,123	-1,146	-0,656	-1,212	-1,718	-1,589	-0,896
1984	-1,267	-0,504	-0,006	0,733	1,360	0,819	0,342	0,086	0,261	-0,237	-0,118	-0,415
1985	-0,323	-1,435	-1,171	-0,716	-0,120	0,412	0,009	0,472	0,007	-0,330	-0,263	0,008
1986	-0,211	0,014	0,742	-0,075	1,521	0,263	0,115	0,639	0,754	-0,154	0,277	1,170
1987	1,171	1,489	1,826	2,021	1,643	1,576	1,203	1,316	1,312	0,556	0,076	0,188
1988	-0,445	-0,182	1,270	0,600	-0,368	-0,420	-0,238	-0,712	-0,129	0,188	0,682	0,910
1989	0,656	0,441	0,283	0,063	-1,659	-1,493	-1,309	-1,346	-1,429	-1,280	-0,473	-0,489
1990	-0,399	-0,196	-0,715	-0,903	-1,503	-0,933	-1,537	-1,019	-1,006	-0,739	-0,481	0,351
1991	0,005	-0,733	-1,111	-1,614	-1,334	-0,075	-0,594	-0,315	-0,403	-0,835	-1,045	0,152
1992	0,201	0,562	1,463	0,733	-1,348	-0,740	-0,522	-1,255	-1,252	-0,550	-0,672	-0,904
1993	-0,689	-0,135	-0,957	-1,759	-1,716	-1,127	-0,417	-0,114	0,763	1,027	1,163	1,137
1994	1,287	0,839	1,148	1,046	0,514	-0,242	-1,019	-0,517	-0,576	-0,671	-0,352	0,657
1995	0,057	-0,245	-0,079	0,554	1,243	1,830	1,381	1,236	1,422	0,359	-0,271	0,250
1996	-0,490	-1,538	-0,407	-1,236	-0,263	0,395	1,205	1,081	1,436	0,774	0,686	-0,147
1997	-0,901	-1,322	-1,088	-0,190	-0,452	0,442	0,936	0,286	-0,383	-0,097	-0,514	-1,156
1998	-1,020	-1,254	-1,241	-1,507	-2,197	-1,326	-0,676	-0,796	0,420	1,690	1,643	1,616
1999	1,905	1,723	0,700	-0,643	-0,639	-0,072	-0,708	-1,064	-0,690	-0,725	-1,187	-1,176
2000	-0,335	-0,030	1,887	1,436	1,154	0,417	0,763	-1,078	-0,621	-0,591	-0,481	-1,573
2001	-1,155	-1,194	-0,510	0,450	0,664	0,857	0,999	1,471	2,005	1,896	1,790	1,899
2002	1,347	0,424	0,580	0,162	-0,650	-0,410	-0,800	0,268	0,226	1,040	1,481	1,682
2003	1,295	1,225	-0,284	-1,393	-1,911	-2,219	-1,844	-1,956	-1,927	-1,881	-2,032	-2,325
2004	-0,787	-0,167	-0,749	-0,569	-0,212	-1,226	-1,262	-1,244	-0,906	-1,140	-0,407	-0,511
2005	0,477	1,017	1,223	-0,239	0,350	-0,536	0,093	0,190	0,569	0,099	0,211	-0,127
2006	-0,617	-0,649	0,770	1,141	0,432	0,344	-1,066	-0,719	-1,084	-1,124	-1,098	-0,303
2007	-1,357	-0,505	-1,030	-1,759	-1,355	-1,527	-1,519	-1,064	0,134	-0,053	0,674	0,687
2008	0,706	-0,145	0,275	-0,277	-0,688	-0,488	-0,349	-0,434	-0,739	-0,045	-0,231	-0,183
2009	-0,451	0,349	0,303	-0,743	0,043	0,736	0,879	-0,023	0,163	0,045	-0,537	-1,052
2010	-0,362	0,365	-0,167	-0,208	0,856	-0,169	0,227	1,890	2,662	1,835	2,121	2,374
2011	1,664	0,307	0,587	-0,749	-1,693	-1,274	-0,028	0,532	0,817	0,825	0,150	-0,291
2012	-0,189	0,238	-0,356	0,186	-0,811	-1,529	-0,674	-0,449	-0,349	-0,055	0,336	-0,226
2013	0,387	1,006	1,405	0,870	1,411	1,718	0,641	0,515	0,768	0,552	-0,118	0,211
2014	-0,269	-1,400	-2,146	-2,482	-1,286	-1,491	-0,604	-0,268	0,543	-0,086	0,059	-0,357
2015	-0,569	-2,092	-1,668	-0,906	-0,923	-0,611	-0,687	-0,864	-1,014	-0,643	-0,560	-0,724
2016	-0,590	-0,039	-0,839	-1,265	-0,792	-0,089	-0,046	-0,174	-0,114	0,216	-0,332	-0,596
2017	-0,269	-0,540	-0,927	-0,602	-1,088	-1,057	-1,014	-0,711	-0,618	0,327	0,359	0,691
2018	0,630	0,114	-0,720	-1,046	-2,010	-2,264	-2,379	-2,564	-2,396	-2,417	-2,837	-2,120
2019	-1,145	-1,234	-0,832	-0,510	-0,263	-1,377	-1,384	-1,349	-1,056	-1,537	-1,133	-1,110
